Iteration,Distance_to_True_x,Distance_to_Optimal_x
0,1.1010125412855643,1.0571204322270538
1,1.0029515539577347,0.9583857003273105
2,0.9691734087055652,0.9244376434881799
3,0.9489954158954367,0.9041446031225029
4,0.9345287005664265,0.8895866661788255
5,0.9229296190133767,0.8779260984880003
6,0.9129328115106464,0.8678873936757548
7,0.9038816182171383,0.8587946685474444
8,0.8954336627428714,0.8503024042320781
9,0.8874021618648893,0.8422319847135354
10,0.8796811408006676,0.8344786072154742
11,0.8722079149819695,0.8269797003981014
12,0.8649353437146852,0.819686078011163
13,0.8578283649882421,0.8125602545141328
14,0.850869137795084,0.8055793525587404
15,0.8440365469719959,0.7987227352148232
16,0.8373096997061831,0.7919697986001151
17,0.8306773847407439,0.785310829322208
18,0.8241293626783232,0.7787382356233283
19,0.8176591340215238,0.7722465220990687
20,0.8112664593282763,0.765830985264505
21,0.8049447327052087,0.7594862546477137
22,0.7986855735949023,0.7532061625162713
23,0.7924869460180458,0.7469896805564079
24,0.7863418203678554,0.7408289454072983
25,0.7802450075493544,0.7347194007220482
26,0.7741931725595931,0.7286568211028914
27,0.7681859291931963,0.7226401505164229
28,0.7622214773224659,0.7166680149182802
29,0.7562981025274501,0.7107390697018231
30,0.750413818010995,0.704851913283289
31,0.7445729198215741,0.6990088028787573
32,0.7387723058733129,0.6932072268777663
33,0.7330104500166346,0.687445502914258
34,0.7272861231519475,0.6817224892828372
35,0.7216010156817374,0.6760383762114962
36,0.7159525569417324,0.6703913469321935
37,0.7103384411817759,0.664780337151537
38,0.7047579143310981,0.6592043301974533
39,0.6992105648788111,0.6536615400537209
40,0.6936959682453734,0.6481505007450596
41,0.6882113043514969,0.6426691296174213
42,0.6827553287793136,0.6372163189949562
43,0.6773276247400336,0.631791716805314
44,0.671927863645066,0.6263951330602712
45,0.6665550015071194,0.6210257012927796
46,0.6612089696144698,0.6156832627764823
47,0.6558885875814016,0.6103669302407134
48,0.6505930599361105,0.6050761361763072
49,0.64532123820236,0.5998096618655643
50,0.6400726732034303,0.5945667407276478
51,0.6348460779343843,0.5893464733561717
52,0.6296404913183181,0.5841477271541661
53,0.6244557785337614,0.5789694492176323
54,0.6192921686922478,0.5738112898121278
55,0.6141487009304879,0.5686728233052877
56,0.6090247893177835,0.5635536928120896
57,0.6039225287169508,0.5584551537803285
58,0.5988407500743105,0.5533766416887372
59,0.5937799472820362,0.5483184154262883
60,0.5887403580033831,0.543281077606551
61,0.5837226470053934,0.5382657694537559
62,0.5787260985258625,0.533271899630645
63,0.57375075297893,0.5282992850956004
64,0.5687963519148431,0.5233476402902948
65,0.5638639454716098,0.5184175857767236
66,0.558951542948616,0.5135079536303515
67,0.5540586306968233,0.5086184548193435
68,0.5491847340360029,0.503748704981795
69,0.5443309151593871,0.4988989103038183
70,0.5394988758111355,0.49406961505562025
71,0.5346874047085026,0.4892601895094764
72,0.529894117690714,0.4844692312326517
73,0.525117565433115,0.47969593767749813
74,0.5203575867684195,0.47493978200362724
75,0.5156147220439349,0.47020073442059357
76,0.510892380905678,0.4654812032822101
77,0.5061888612914232,0.4607799832680781
78,0.501503496889308,0.4560967092203111
79,0.49684174854850904,0.45143525181240135
80,0.49220138787650747,0.4467939852290434
81,0.4875809621653643,0.44217148835318815
82,0.4829784667033249,0.4375663818462227
83,0.47839262518401515,0.4329777808101359
84,0.4738223799558426,0.4284048606715608
85,0.4692685543153008,0.4238474690689068
86,0.46473036547670243,0.41930488702996344
87,0.4602065100915787,0.4147762492314372
88,0.45569614507692435,0.4102610204137219
89,0.45119872022809204,0.40575887435857144
90,0.44671387827822656,0.40126962355542745
91,0.4422413937899343,0.39679317713310275
92,0.43778113494781856,0.39232951503806734
93,0.43333303914310356,0.38787867180086394
94,0.42889709703433454,0.3834407261058363
95,0.4244733419260425,0.3790157939650222
96,0.4200618425572293,0.3746040241919507
97,0.4156626981269029,0.3702055953860072
98,0.4112758080135344,0.3658204589479582
99,0.4069054511955224,0.36145200804034505
100,0.4025529965658561,0.35710139918398565
101,0.3982174824798675,0.35276796776736763
102,0.39389826710907644,0.3484513140597477
103,0.3895949246941983,0.34415121418668143
104,0.38530718137343745,0.33986756755866704
105,0.38103480170948245,0.3356002824206434
106,0.37677843129799876,0.33135001426109734
107,0.3725379811763975,0.32711676760021163
108,0.368313279467794,0.32290046326352473
109,0.364104006646349,0.31870093261273585
110,0.3599103896017449,0.3145184782344853
111,0.35573260733988377,0.31035325003968706
112,0.35157077320293645,0.30620540663712154
113,0.3474246640038295,0.30207470346416043
114,0.3432965834777614,0.2979610435230197
115,0.33918851295894326,0.29386629557111565
116,0.33509898565205015,0.2897897227912979
117,0.3310271181489047,0.28573097633521916
118,0.3269723619119485,0.28168991512831665
119,0.32293562316053764,0.27766746908147316
120,0.3189172224217963,0.2736640379340742
121,0.3149212927500192,0.2696828405791775
122,0.3109481687657772,0.2657236629212981
123,0.30699971222608985,0.26178801358361276
124,0.30307427865851627,0.2578749906245706
125,0.29917081340849583,0.25398400305834856
126,0.2952910126508975,0.25011614628392703
127,0.2914348522521934,0.24627160132391052
128,0.28760191623894965,0.24245034273429417
129,0.2837919465704172,0.23865244622078344
130,0.28000480302894704,0.23487806780950962
131,0.27624044165232764,0.23112743246174325
132,0.2724987718512457,0.2274005816273779
133,0.2687837216816767,0.2237007182909628
134,0.26509441791739,0.22002747147146665
135,0.26143477596616405,0.21638384631277263
136,0.257803963864222,0.2127692228487778
137,0.2542012284076348,0.2091830853718487
138,0.2506259540551341,0.20562503748517916
