Iteration,Distance_to_True_x,Distance_to_Optimal_x
0,1.1010125412855643,1.0571204322270538
1,9.566771183830172,9.574669960976337
2,5.097398237642925,5.101846319157344
3,2.5403209082914726,2.5333103440005966
4,1.2745844274133622,1.2376947643406602
5,1.5623686881619145,1.5445449264709947
6,1.0241218535436076,0.9814609300027468
7,1.3214428444069268,1.294875477559246
8,0.9433270295614086,0.9000589391494394
9,1.1938563007185394,1.1615142762716322
10,0.8912458160158695,0.8478079640997689
11,1.1034709410905503,1.0672994015975603
12,0.8474939708714907,0.8033128325820964
13,1.0274212874720665,0.9889933219346019
14,0.8035577183638922,0.7585910521387469
15,0.9466872006961747,0.9084950892125639
16,0.7587429452247192,0.7145508173672942
17,0.8697344669839387,0.829655295020546
18,0.7240191942026839,0.6796033023915116
19,0.799755081912033,0.7592917245734834
20,0.6890145701919622,0.6449809145595542
21,0.7554942667557198,0.7134780512751426
22,0.6626267089353641,0.6181187018946188
23,0.7178017392010838,0.6760357883445557
24,0.6372019573377217,0.5928620826675566
25,0.6842531341580855,0.6423459557257919
26,0.6142981692715926,0.5699708683145901
27,0.6547936432634468,0.6121079237717622
28,0.593344823245627,0.5486443424330615
29,0.626754896971345,0.5838722081001371
30,0.572002533975413,0.5276383185430851
31,0.599561224251218,0.5562087459444188
32,0.5510551860712071,0.5067974059767016
33,0.5730450375885633,0.5297855029999596
34,0.5319093937247468,0.4874477731909965
35,0.5503766411240227,0.5069758506405667
36,0.5130010167417758,0.46888591814204617
37,0.5292009933782069,0.4855452690538938
38,0.49543543676646623,0.45115570242841524
39,0.5091897668500784,0.46588377282247395
40,0.4787889301344032,0.43479976744250953
41,0.4898323600316572,0.4464307960012508
42,0.4623801533411138,0.4185322422008536
43,0.47105292568749874,0.4273404313447791
44,0.44673329025907293,0.4029810555624586
45,0.454638373184712,0.4109674702737464
46,0.43227516432538954,0.38865977684972847
47,0.437818878988465,0.3939926921083797
48,0.41795934360664616,0.37442008700293805
49,0.42161188164875935,0.3775806748986316
50,0.4042883076684615,0.3606464102467721
51,0.4064967902339769,0.36271708059885305
52,0.3904342772892618,0.34708073538872075
53,0.39178657144509454,0.3478933074929225
54,0.37708157533456477,0.3338437326635875
55,0.3775958353978016,0.3336081483150362
56,0.36499569379226937,0.32173046903351865
57,0.36461051751730955,0.32090167206426745
58,0.35211964974418336,0.30909048439710307
59,0.35154717604294045,0.30775972017795405
60,0.3401944975829603,0.2970173952242522
61,0.3384831439312255,0.2945017654390734
62,0.3293170012012012,0.2863295094749598
63,0.32680644956934296,0.2825054720800905
64,0.3181654000486934,0.2752101310608076
65,0.31503060275789385,0.27108799690744095
66,0.3071912499502022,0.2639867216961561
67,0.30398837009541063,0.26001527431141
68,0.2962817216788934,0.2532535853673548
69,0.2917997485367361,0.24757710671036706
70,0.2847394420793703,0.24132535618616413
71,0.28137525209901176,0.23734137788568688
72,0.275040087699647,0.23209715571049497
73,0.27193211620941665,0.2276488948608851
74,0.26535981573164924,0.22210081402741155
75,0.26186149393525515,0.2178293805379015
76,0.2565576033282876,0.2132382750800396
77,0.2527756016954826,0.20798843399718847
78,0.24605372883236323,0.20282616140438353
79,0.24238429873170944,0.19799495274078227
80,0.23750404352279048,0.1945632457649104
81,0.232954628402494,0.18856103257269305
82,0.22897874875591617,0.18580124635365636
83,0.22553450485644677,0.18048999212033476
84,0.22123357172839145,0.17791949829481737
85,0.21708350994497763,0.17254872104847935
86,0.21239772327890735,0.1691371716219023
87,0.20772480331682194,0.1631556855432151
88,0.2047118987906298,0.1617506717346942
89,0.20078987566906364,0.15698572580209277
90,0.19733684735961005,0.15434476031409
91,0.19265102340618226,0.147750107962889
92,0.18991517467027194,0.14672540996543296
93,0.18572463699517133,0.14128011163964563
94,0.1823502853411074,0.13969224251298865
95,0.17980273531229565,0.13586839426993993
96,0.17698096428478347,0.13466602576232406
97,0.17311805280196008,0.1291070227355537
98,0.1716109166629907,0.12864411159699166
99,0.16704600455391339,0.12260431540004935
100,0.16482502670597998,0.12218575930724801
101,0.16232213982130583,0.11810835390690458
102,0.15945825451225348,0.11762247659416016
103,0.15708910869647905,0.11327608782187422
104,0.15412861045709264,0.11208016569689691
105,0.15226927808495186,0.10898230169566883
106,0.1491653624657846,0.10784643097354724
107,0.14776199936478876,0.10377993025627055
108,0.14454806135974085,0.10278416228259152
109,0.1425342559532202,0.09924389991441296
110,0.14085426116293512,0.10005765147970141
111,0.1383944350579377,0.09484105265992632
112,0.136336040075538,0.09563375905036463
113,0.13421595451791946,0.09189576519346526
114,0.13185417019085752,0.0915469590216374
115,0.12958096336130218,0.08669534066775753
116,0.12849637197258143,0.08731367226383667
117,0.1265610219289038,0.08341885591864474
118,0.1268334046729208,0.08637971651388064
119,0.12372625044693406,0.08184899004067196
120,0.1228174664561198,0.0827824259364298
121,0.11984048876521855,0.07783451720386704
122,0.11911940826287665,0.07915104207722493
123,0.11828229057484299,0.07727439191253889
124,0.11652382325857785,0.07719175380143221
125,0.11484740759643697,0.07462746528749317
126,0.11458296627438108,0.07560776919958995
127,0.11163765187323298,0.07112731976887772
128,0.11183649707245395,0.07390745608210234
129,0.10925563916406361,0.06867183165403824
130,0.10873366246930198,0.07067812244836537
131,0.10828976776198854,0.06845847666995407
132,0.10752572966307744,0.0703240558035434
133,0.10661835002827119,0.06812954178900177
134,0.10453358026984222,0.06658702641977562
135,0.10447948781188883,0.06385847288212569
136,0.10254815204652377,0.06463300907979963
137,0.101780775460943,0.0617281021863312
138,0.10034328592259409,0.06200746002036421
139,0.1012239364996592,0.06201662715408386
140,0.09884918172551282,0.06087611673734411
141,0.09883588010810351,0.0596548536147702
142,0.09844581447940237,0.06136610102219615
143,0.09816370852282691,0.05960370953437561
144,0.09690822016653941,0.059832295851030046
145,0.09592476538556954,0.05796898775673504
146,0.09497163490484335,0.05752875183952123
